1,Oil Drain Caddy,for draining oil
2,Brake Lathe,for resurfacing rotors
3,Tire Mount and Balance,for mounting new tires
4,AC Machine,for recharging AC
5,Jack and Jack Stand #1,for replacing brake pads
6,Jack and Jack Stand #2,for replacing brake rotors
7,Torque wrench,for replacing serpentine belt
8,Ratchet set,for replacing ignition coil
9,Screwdriver set #1,for replacing headlights
10,Screwdriver set #2,for replacing rearlights
11,Screwdriver set #3,for replacing engine airfilter
12,Screwdriver set #4,for replacing cabin filter
13,Funnel,for pouring brake fluid
