1,Oil Change,6/15/2022,KL1TC1247WFBK2ZHN,1,1,1,11,50,1,70
2,Replace Spark Plug,6/21/2022,1FBSS31S155XNTRS5,2,,2,7,40,4,50
3,Mount Tires,4/17/2019,KL1TJ626041XT931B,6,3,3,5,150,4,700
4,Replace Headlight Lightbulb,2/19/2020,KL1TC5EE4B536UYLJ,13,9,4,8,25,2,70
5,Replace Rearlight Lightbulb,12/23/2020,WBANB33505MG2FXWY,14,10,5,4,35,2,90
6,Replace Ignition Coil,10/27/2021,5FNRL189X4VTZZD9N,15,8,6,6,40,1,100
7,Replace Brake Rotor,8/31/2022,1FBSU40S93N8MRF61,7,6,7,11,120,2,300
8,Replace Serpentine Belt,7/5/2021,JT3HK23M2T9X5L6EU,8,7,8,2,250,1,350
9,Install Leak Sealant,5/8/2019,JT3GM84R4WDSHM44L,12,,9,8,70,1,100
10,Replace Brake Fluid,3/12/2018,WAUKF38E48DZ4WUTZ,9,13,10,5,15,1,25
11,Replace Engine Airfilters,1/14/2022,JT3XP10V4V6KGKSFM,10,,11,12,160,1,200
12,Replace Cabin Filter,3/15/2020,KL1TC1247WFBK2ZHN,11,12,12,14,90,1,150
13,Oil Change,4/18/2017,JT3XP10V4V6KGKSFM,1,1,13,1,50,1,70
14,Replace Spark Plug,9/8/2017,JT3MU52N953RRH1PA,2,,14,7,40,4,50
15,Mount Tires,1/29/2018,JT3BU14R93J6NZLHE,6,3,15,15,150,4,700
16,Replace Headlight Lightbulb,6/21/2018,WAUKF38E48DZ4WUTZ,13,9,16,3,25,2,70
17,Replace Rearlight Lightbulb,11/11/2018,WBABJ7336XPHUWZMM,14,10,17,4,35,2,90
18,Replace Ignition Coil,4/3/2019,JT3EP21A2595XNP5T,15,8,18,10,40,1,100
19,Replace Brake Rotor,8/24/2019,1FBSS31P67TL63WKM,7,6,19,8,120,2,300
20,Replace Brake Fluid,1/14/2020,WBACD9328W2RRV6H4,9,13,20,9,15,1,25
21,Replace Engine Airfilters,6/5/2020,JT3YK3EH7B11XJ6HP,10,,21,14,160,1,200
22,Replace Headlight Lightbulb,11/18/2017,5FNRE4H5XAJDLNLDA,13,9,22,9,25,2,70
23,Replace Rearlight Lightbulb,3/12/2018,KL1TJ626041XT931B,14,10,23,4,35,2,90
24,Replace Ignition Coil,7/4/2018,5FNRE4H5XAJDLNLDA,15,8,24,5,40,1,100
25,Replace Brake Rotor,10/26/2018,JT3BU14R93J6NZLHE,7,6,25,14,120,2,300
26,Replace Serpentine Belt,2/17/2019,KL1TC5EE4B536UYLJ,8,7,26,11,250,1,350
27,Install Leak Sealant,6/11/2019,KL1TD51638PNL7SKZ,12,,27,12,70,1,100
28,Replace Brake Fluid,10/3/2019,1FBJS31L0VXYDU7XU,9,13,28,5,15,1,25
29,Replace Engine Airfilters,1/25/2020,1FBSS31P67TL63WKM,10,,29,8,160,1,200
30,Replace Cabin Filter,5/18/2020,JT3HD21A87V8G1EX1,11,12,30,9,90,1,150
